 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:  30. 5.    Time:  12: 0:52
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
    12276  0.4989900E+03  0.88123E-01    4    43914     4     1     T
    12285  0.4999900E+03  0.14667E+00    3    43945     4     1     T
    12308  0.5009900E+03  0.16450E+00    3    43994     4     1     T
    12331  0.5019900E+03  0.16450E+00    2    44040     4     1     T
    12336  0.5029900E+03  0.24750E+00    4    44059     4     1     T
    12359  0.5039900E+03  0.16450E+00    4    44111     4     1     T
    12528  0.5049900E+03  0.11072E-01    5    44959    -4     1     T
    12581  0.5059900E+03  0.31568E-01    6    45195    -4     1     T
    12626  0.5069900E+03  0.92804E-01    4    45453     4     1     T
    12636  0.5079900E+03  0.11000E+00    4    45493     4     1     T
    12664  0.5089900E+03  0.16794E+00    4    45573     4     1     T
    12687  0.5099900E+03  0.24675E+00    3    45624     4     1     T
    12710  0.5109900E+03  0.16450E+00    2    45670     4     1     T
